TIME,OPCODE,ACK/NACK,REASON
2022-09-20 11:13:44.126,0xFF
2022-09-20 11:13:44.534,0xFF,ACK
2022-09-20 11:13:46.082,0x01
2022-09-20 11:13:47.262,0x04
2022-09-20 11:13:47.977,0x04,ACK
2022-09-20 11:13:48.223,0x16
2022-09-20 11:13:49.287,0x16,ACK
2022-09-20 11:15:14.561,0x01
2022-09-20 11:15:15.258,0x04
2022-09-20 11:15:15.633,0x04,ACK
2022-09-20 11:15:16.226,0x16
2022-09-20 11:15:16.590,0x16,ACK
2022-09-20 11:16:21.882,0x01
2022-09-20 11:16:22.810,0x04
2022-09-20 11:16:23.406,0x04,ACK
2022-09-20 11:16:23.554,0x16
2022-09-20 11:16:24.072,0x16,ACK
2022-09-20 11:17:22.286,0x01
2022-09-20 11:17:23.076,0x04
2022-09-20 11:17:23.631,0x04,ACK
2022-09-20 11:17:24.086,0x16
2022-09-20 11:17:24.447,0x16,ACK
2022-09-20 11:18:27.713,0x01
2022-09-20 11:18:28.302,0x04
2022-09-20 11:18:28.889,0x04,ACK
2022-09-20 11:18:29.168,0x16
2022-09-20 11:18:29.689,0x16,ACK
2022-09-20 11:19:05.827,0x07
2022-09-20 11:19:06.358,0x07,ACK
2022-09-20 11:20:00.718,0x19
