TIME,OPCODE,ACK/NACK,REASON
2022-09-07 09:56:58.174,0xFF
2022-09-07 09:56:58.541,0xFF,ACK
2022-09-07 09:57:00.582,0x04
2022-09-07 09:57:00.850,0x04,NACK,Not Ready Error
2022-09-07 09:57:21.620,0x04
2022-09-07 09:57:21.891,0x04,NACK,Not Ready Error
