TIME,OPCODE,ACK/NACK,REASON
2022-09-27 15:46:53.239,0xFF
2022-09-27 15:46:53.561,0xFF,ACK
2022-09-27 15:46:55.451,0x01
2022-09-27 15:46:56.749,0x04
2022-09-27 15:46:57.060,0x04,NACK,Not Ready Error
2022-09-27 15:48:07.385,0x0F
2022-09-27 15:48:07.633,0x0F,ACK
2022-09-27 15:48:12.357,0x0E
2022-09-27 15:48:12.648,0x0E,ACK
2022-09-27 15:48:15.215,0x01
2022-09-27 15:48:16.250,0x04
2022-09-27 15:48:16.557,0x04,ACK
2022-09-27 15:48:20.286,0x16
2022-09-27 15:48:20.616,0x16,NACK,Not Ready Error
2022-09-27 15:50:30.605,0xFF
2022-09-27 15:50:30.851,0xFF,ACK
2022-09-27 15:50:31.334,0x01
2022-09-27 15:50:32.637,0x04
2022-09-27 15:50:32.976,0x04,ACK
2022-09-27 15:50:37.024,0x16
2022-09-27 15:50:37.304,0x16,NACK,Not Ready Error
