TIME,OPCODE,ACK/NACK,REASON
2022-10-01 11:17:32.030,0xFF
2022-10-01 11:17:32.544,0xFF,ACK
2022-10-01 11:17:33.472,0x01
2022-10-01 11:17:35.445,0x04
2022-10-01 11:17:36.191,0x04,ACK
2022-10-01 11:17:40.478,0x05
2022-10-01 11:17:47.023,0x07
2022-10-01 11:17:47.546,0x07,ACK
2022-10-01 11:17:51.329,0x11
2022-10-01 11:17:51.744,0x11,ACK
2022-10-01 11:17:54.143,0x13
2022-10-01 11:17:55.653,0x13,ACK
2022-10-01 11:18:02.653,0x15
2022-10-01 11:18:03.703,0x15,ACK
2022-10-01 11:18:05.957,0x16
2022-10-01 11:18:06.527,0x16,NACK,Not Ready Error
2022-10-01 11:18:11.274,0x17
2022-10-01 11:18:13.364,0x17,ACK
2022-10-01 11:18:20.838,0x01
2022-10-01 11:18:21.928,0x05
2022-10-01 11:18:22.388,0x05,ACK
2022-10-01 11:18:24.985,0x04
2022-10-01 11:18:25.634,0x04,ACK
